Model Type,Version,Version Description,Loss Type,Dataset Size,GraphVAE Dataset Size,Evaluation of metrics over generation run nMolecules Generated,Valid Molecules,Unique Molecules,Novel Molecules,Valid Fraction,Unique Fraction,Novel Fraction,Valid Over Total,Unique Over Total,Novel Over Total,Average QED (stdev),Average logP (stdev),Average Mol.Wt. (stdev),Average Ring C. (stdev),Frenchet Dist. QM9,Frenchet Dist. LogP,Frenchet Dist. molecular weights,Frenchet Dist. Ring
Diffusion,20.00,Unknown,XX,100000,100000,10000,8289,705,596,0.8289,0.085052479189287,0.8453900709219858,0.8289,0.0705,0.0596,0.5379045202168736 (0.04677378305977964),2.7040527144408273 (0.7839374593476707),123.51609651345154 (10.747430231001664),0.6994812401978526 (0.6564920070023048),0.08579063624546097,0.3380418795722013,0.6711304138014249,0.1647685459141799
Diffusion,20.00,Unknown,XX,50000,50000,10000,7757,1459,1168,0.7757,0.18808817841949207,0.800548320767649,0.7757,0.1459,0.1168,0.48689696351693385 (0.053665242066352724),1.9377053680546608 (1.122632541111882),105.83254931030037 (15.68219188855116),0.8532937991491556 (0.802780422201115),0.028619926715620525,0.26054227539567204,0.2982327922937584,0.09038422132495356
Diffusion,20.01,Unknown,XX,100000,100000,10000,8116,799,644,0.8116,0.0984475110892065,0.8060075093867334,0.8116,0.0799,0.0644,0.5113240397412783 (0.04924132351820602),2.913274239773289 (0.9533762994052618),120.30529386397238 (14.640611271584088),0.70638245441104 (0.5389360981583671),0.07842575072282583,0.3383258424492758,0.7088467225234112,0.2219286554395853
Diffusion,20.01,Unknown,XX,50000,50000,10000,7693,1616,1415,0.7693,0.21006109450149488,0.8756188118811881,0.7693,0.1616,0.1415,0.47445525309399694 (0.057453714601718546),1.940855408813207 (1.021160297228083),104.43534758871701 (15.808577820257844),0.9764721175094242 (0.9420172627069555),0.04261312000614379,0.21825461937933802,0.3515277887285226,0.1320595900467319
Diffusion,20.02,Unknown,XX,100000,100000,10000,8589,602,505,0.8589,0.07008964955175224,0.8388704318936877,0.8589,0.0602,0.0505,0.5114812421291118 (0.03905753817801491),3.0564518616835508 (0.8302406594326135),121.69671230643843 (12.653259608744715),0.6850622889742695 (0.5643061542745845),0.10057480346802862,0.34336598579719346,0.7516590988473629,0.18852090918535036
Diffusion,20.02,Unknown,XX,50000,50000,10000,7298,721,554,0.7298,0.0987941901890929,0.768377253814147,0.7298,0.0721,0.0554,0.4644303515925327 (0.044834976512161326),2.3399647807618535 (0.6836045262792516),88.00915661825157 (20.308980322053728),0.4791723759934229 (0.8615706276587941),0.05032211150156715,0.3440335101229896,0.2885753288686821,0.2703054526870747
Diffusion,20.03,Unknown,XX,100000,100000,10000,8371,794,649,0.8371,0.09485127224943256,0.8173803526448362,0.8371,0.0794,0.0649,0.5295232590898736 (0.049436904917790854),2.614715714968345 (0.8410594489011919),119.53654449886511 (13.76052609391579),0.494803488233186 (0.6594673146863808),0.05652347174833329,0.19968828882744105,0.3925456934655361,0.1443121853357982
Diffusion,20.03,Unknown,XX,50000,50000,10000,6806,1846,1684,0.6806,0.2712312665295328,0.9122426868905742,0.6806,0.1846,0.1684,0.47738032118297347 (0.0575109837717422),2.0388325301204824 (1.1215383202398863),105.53884557743166 (16.278578507953256),0.9356450191007935 (0.8657973957727695),0.037878381964155466,0.2602176242854222,0.27015449045363416,0.09589358257188887
Diffusion,20.04,Unknown,XX,100000,100000,10000,207,67,64,0.0207,0.32367149758454106,0.9552238805970149,0.0207,0.0067,0.0064,0.3461236262878524 (0.040032636683828275),0.5709591787439613 (0.4930696606298395),53.472444444444434 (18.019258977872756),0.10628019323671498 (0.4032586812504194),0.120796382225972,0.20440083850123542,0.38063883191670606,0.49197449043431185
Diffusion,20.04,Unknown,XX,50000,50000,10000,662,457,438,0.0662,0.6903323262839879,0.9584245076586433,0.0662,0.0457,0.0438,0.37856324412042364 (0.0647455977120741),0.25935160120845924 (0.6661638902012103),71.03434290030212 (21.769631678733944),0.0649546827794562 (0.25250093069280005),0.09036717708371658,0.09420695622114925,0.32195340619532437,0.49197449043431185
